N,Cells,siRNA,HMGB1
1,MP38,siControl,0.050273193
1,MP38,siCPT1A #1,0.385596072
1,MP38,siCPT1A #2,0.151531856
2,MP38,siControl,0.082229454
2,MP38,siCPT1A #1,0.275509548
2,MP38,siCPT1A #2,0.243271746
3,MP38,siControl,0.149480142
3,MP38,siCPT1A #1,0.254421307
3,MP38,siCPT1A #2,0.195396574
4,MP38,siControl,0.077544595
4,MP38,siCPT1A #1,0.361596314
4,MP38,siCPT1A #2,0.172984871
1,MP65,siControl,0.009860056
1,MP65,siCPT1A #1,0.335354026
1,MP65,siCPT1A #2,0.354490542
3,MP65,siControl,0.146028187
3,MP65,siCPT1A #1,0.267041671
3,MP65,siCPT1A #2,0.245531148
4,MP65,siControl,0.102702171
4,MP65,siCPT1A #1,0.291838708
4,MP65,siCPT1A #2,0.273290604
